,countries,genres,movie_duration,year
164,['Россия'],"['драма', 'приключения', 'триллер']",138,2016
165,"['Великобритания', 'США']","['фэнтези', 'приключения', 'семейный']",133,2016
166,"['Китай', 'Канада', 'Япония', 'США']","['фэнтези', 'боевик', 'приключения']",123,2016
167,"['Великобритания', 'США']","['фэнтези', 'драма', 'приключения', 'семейный', 'мультфильм']",105,2016
168,['США'],"['фантастика', 'триллер', 'драма']",116,2016
169,"['Франция', 'США']","['боевик', 'триллер', 'комедия', 'криминал', 'детектив', 'приключения']",129,2016
170,"['США', 'Германия']","['фантастика', 'боевик', 'приключения']",147,2016
171,"['США', 'Гонконг', 'Тайвань']","['триллер', 'драма', 'приключения', 'вестерн', 'история']",156,2016
172,"['Великобритания', 'Бельгия', 'США']","['фэнтези', 'драма', 'приключения', 'семейный']",127,2016
173,['США'],"['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный']",107,2016
174,['США'],"['мультфильм', 'фантастика', 'фэнтези', 'комедия', 'приключения', 'семейный']",94,2016
175,['Россия'],"['семейный', 'комедия']",88,2016
176,"['Китай', 'США']","['мультфильм', 'фэнтези', 'боевик', 'комедия', 'приключения', 'семейный']",95,2016
177,['США'],"['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный']",92,2016
178,['Россия'],"['спорт', 'драма']",133,2017
179,['США'],"['фэнтези', 'боевик', 'комедия', 'приключения']",129,2017
180,['Россия'],"['комедия', 'семейный', 'фэнтези']",114,2017
181,"['Китай', 'США', 'Япония']","['боевик', 'триллер', 'криминал']",136,2017
182,['США'],"['фантастика', 'боевик', 'приключения', 'комедия']",136,2017
183,['США'],"['мультфильм', 'фэнтези', 'комедия', 'семейный']",87,2017
184,['США'],"['мультфильм', 'фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения', 'семейный']",89,2017
185,['США'],"['фэнтези', 'боевик', 'комедия', 'приключения']",119,2017
186,['США'],"['фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения']",130,2017
187,"['США', 'Канада']","['ужасы', 'триллер', 'драма']",135,2017
188,['Россия'],['фантастика'],132,2017
189,"['Япония', 'США']","['мультфильм', 'мюзикл', 'комедия', 'семейный', 'музыка']",108,2017
190,['США'],"['фантастика', 'боевик', 'триллер', 'драма']",137,2017
191,['США'],"['фантастика', 'боевик', 'приключения']",133,2017
192,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения']",152,2017
193,"['США', 'Франция', 'Великобритания', 'Гонконг', 'Тайвань', 'Мальта']","['фантастика', 'фэнтези', 'боевик', 'приключения']",115,2017
194,"['Мальта', 'США']","['драма', 'криминал', 'детектив']",114,2017
195,"['Китай', 'Япония', 'США']","['фэнтези', 'боевик', 'триллер', 'приключения']",110,2017
196,['Россия'],"['комедия', 'мелодрама']",85,2017
197,"['США', 'Китай', 'Канада']","['фантастика', 'боевик', 'приключения']",154,2017
198,['США'],"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",93,2012
199,['США'],"['боевик', 'триллер', 'приключения']",103,2010
